corrida_id_corrida,circuito_id_circuito,ano_corrida,rodada_corrida,nome_corrida,data_corrida,circuito_ref_circuito,nome_circuito,localizacao_circuito,pais_circuito,latitude_circuito,longitude_circuito,altitude_circuito
211,6,1997,5,Monaco Grand Prix,05/11/1997,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
212,4,1997,6,Spanish Grand Prix,05/25/1997,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
213,7,1997,7,Canadian Grand Prix,06/15/1997,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
214,8,1997,8,French Grand Prix,06/29/1997,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
215,9,1997,9,British Grand Prix,07/13/1997,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
216,10,1997,10,German Grand Prix,07/27/1997,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
217,11,1997,11,Hungarian Grand Prix,08/10/1997,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
218,13,1997,12,Belgian Grand Prix,08/24/1997,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
219,14,1997,13,Italian Grand Prix,09/07/1997,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
220,70,1997,14,Austrian Grand Prix,09/21/1997,red_bull_ring,Red Bull Ring,Spielberg,Austria,472197.0,147647.0,678.0
221,20,1997,15,Luxembourg Grand Prix,09/28/1997,nurburgring,Nürburgring,Nürburg,Germany,503356.0,69475.0,578.0
222,22,1997,16,Japanese Grand Prix,10/12/1997,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
223,26,1997,17,European Grand Prix,10/26/1997,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,367083.0,-603417.0,37.0
224,1,1996,1,Australian Grand Prix,03/10/1996,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-378497.0,144968.0,10.0
225,18,1996,2,Brazilian Grand Prix,03/31/1996,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
226,25,1996,3,Argentine Grand Prix,04/07/1996,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-346943.0,-584593.0,8.0
227,20,1996,4,European Grand Prix,04/28/1996,nurburgring,Nürburgring,Nürburg,Germany,503356.0,69475.0,578.0
228,21,1996,5,San Marino Grand Prix,05/05/1996,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
229,6,1996,6,Monaco Grand Prix,05/19/1996,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
230,4,1996,7,Spanish Grand Prix,06/02/1996,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
231,7,1996,8,Canadian Grand Prix,06/16/1996,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
232,8,1996,9,French Grand Prix,06/30/1996,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
233,9,1996,10,British Grand Prix,07/14/1996,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
234,10,1996,11,German Grand Prix,07/28/1996,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
235,11,1996,12,Hungarian Grand Prix,08/11/1996,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
236,13,1996,13,Belgian Grand Prix,08/25/1996,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
237,14,1996,14,Italian Grand Prix,09/08/1996,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
238,27,1996,15,Portuguese Grand Prix,09/22/1996,estoril,Autódromo do Estoril,Estoril,Portugal,387506.0,-939417.0,130.0
239,22,1996,16,Japanese Grand Prix,10/13/1996,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
240,18,1995,1,Brazilian Grand Prix,03/26/1995,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
241,25,1995,2,Argentine Grand Prix,04/09/1995,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-346943.0,-584593.0,8.0
242,21,1995,3,San Marino Grand Prix,04/30/1995,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
243,4,1995,4,Spanish Grand Prix,05/14/1995,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
244,6,1995,5,Monaco Grand Prix,05/28/1995,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
245,7,1995,6,Canadian Grand Prix,06/11/1995,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
246,8,1995,7,French Grand Prix,07/02/1995,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
247,9,1995,8,British Grand Prix,07/16/1995,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
248,10,1995,9,German Grand Prix,07/30/1995,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
249,11,1995,10,Hungarian Grand Prix,08/13/1995,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
250,13,1995,11,Belgian Grand Prix,08/27/1995,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
251,14,1995,12,Italian Grand Prix,09/10/1995,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
252,27,1995,13,Portuguese Grand Prix,09/24/1995,estoril,Autódromo do Estoril,Estoril,Portugal,387506.0,-939417.0,130.0
253,20,1995,14,European Grand Prix,10/01/1995,nurburgring,Nürburgring,Nürburg,Germany,503356.0,69475.0,578.0
254,28,1995,15,Pacific Grand Prix,10/22/1995,okayama,Okayama International Circuit,Okayama,Japan,34915.0,134221.0,266.0
255,22,1995,16,Japanese Grand Prix,10/29/1995,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
256,29,1995,17,Australian Grand Prix,11/12/1995,adelaide,Adelaide Street Circuit,Adelaide,Australia,-349272.0,138617.0,58.0
257,18,1994,1,Brazilian Grand Prix,03/27/1994,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
258,28,1994,2,Pacific Grand Prix,04/17/1994,okayama,Okayama International Circuit,Okayama,Japan,34915.0,134221.0,266.0
259,21,1994,3,San Marino Grand Prix,05/01/1994,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
260,6,1994,4,Monaco Grand Prix,05/15/1994,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
261,4,1994,5,Spanish Grand Prix,05/29/1994,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
262,7,1994,6,Canadian Grand Prix,06/12/1994,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
263,8,1994,7,French Grand Prix,07/03/1994,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
264,9,1994,8,British Grand Prix,07/10/1994,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
265,10,1994,9,German Grand Prix,07/31/1994,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
266,11,1994,10,Hungarian Grand Prix,08/14/1994,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
267,13,1994,11,Belgian Grand Prix,08/28/1994,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
268,14,1994,12,Italian Grand Prix,09/11/1994,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
269,27,1994,13,Portuguese Grand Prix,09/25/1994,estoril,Autódromo do Estoril,Estoril,Portugal,387506.0,-939417.0,130.0
270,26,1994,14,European Grand Prix,10/16/1994,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,367083.0,-603417.0,37.0
271,22,1994,15,Japanese Grand Prix,11/06/1994,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
272,29,1994,16,Australian Grand Prix,11/13/1994,adelaide,Adelaide Street Circuit,Adelaide,Australia,-349272.0,138617.0,58.0
